iter	Passed	Remaining
545	14166	37724
546	14189	37691
547	14210	37652
548	14231	37614
549	14253	37578
550	14272	37532
551	14299	37510
552	14320	37472
553	14360	37481
554	14379	37437
555	14402	37404
556	14421	37361
557	14445	37330
558	14462	37282
559	14482	37241
560	14499	37192
561	14520	37153
562	14541	37116
563	14581	37126
564	14602	37089
565	14625	37054
566	14644	37011
567	14664	36971
568	14683	36927
569	14706	36894
570	14725	36853
571	14745	36812
572	14763	36766
573	14802	36773
574	14819	36726
575	14840	36688
576	14858	36644
577	14880	36608
578	14897	36562
579	14917	36522
580	14934	36474
581	14953	36433
582	14970	36386
583	15012	36399
584	15029	36354
585	15054	36325
586	15074	36286
587	15095	36248
588	15113	36205
589	15133	36166
590	15151	36122
591	15170	36082
592	15190	36042
593	15229	36047
594	15246	36002
595	15267	35965
596	15283	35918
597	15304	35880
598	15321	35836
599	15341	35797
600	15360	35755
601	15384	35727
602	15411	35703
603	15452	35714
604	15472	35675
605	15493	35640
606	15514	35605
607	15538	35574
608	15556	35532
609	15578	35497
610	15596	35456
611	15618	35422
612	15636	35380
613	15675	35385
614	15693	35342
615	15715	35308
616	15734	35267
617	15755	35234
618	15773	35192
619	15795	35156
620	15812	35114
621	15833	35078
622	15851	35035
623	15871	34998
624	15890	34958
625	15932	34970
626	15950	34929
627	15974	34899
628	15994	34861
629	16016	34829
630	16036	34792
631	16067	34777
632	16086	34740
633	16127	34747
634	16146	34708
635	16177	34694
636	16212	34689
637	16244	34679
638	16272	34659
639	16314	34669
640	16339	34642
641	16365	34616
642	16384	34578
643	16409	34551
644	16429	34514
645	16454	34488
646	16472	34446
647	16518	34463
648	16541	34433
649	16563	34400
650	16584	34365
651	16615	34352
652	16637	34319
653	16662	34292
654	16683	34258
655	16731	34279
656	16751	34242
657	16777	34217
658	16796	34178
659	16820	34150
660	16838	34109
661	16859	34075
662	16876	34033
663	16897	33997
664	16915	33958
665	16953	33958
666	16971	33917
667	16990	33879
668	17008	33838
669	17029	33804
670	17051	33772
671	17072	33738
672	17089	33696
673	17108	33658
674	17129	33624
675	17170	33628
676	17187	33587
677	17207	33552
678	17224	33509
679	17244	33473
680	17261	33434
681	17282	33399
682	17300	33360
683	17320	33323
684	17338	33285
685	17357	33247
686	17377	33211
687	17418	33216
688	17437	33178
689	17469	33166
690	17488	33129
691	17510	33098
692	17529	33059
693	17550	33026
694	17569	32989
695	17608	32990
696	17633	32963
697	17660	32941
698	17685	32916
699	17715	32900
700	17738	32870
701	17785	32885
702	17812	32864
703	17854	32868
704	17881	32845
705	17921	32846
706	17948	32824
707	17984	32819
708	18007	32789
709	18038	32774
710	18067	32755
711	18142	32819
712	18168	32794
713	18206	32791
714	18231	32765
715	18287	32795
716	18318	32779
717	18348	32762
718	18381	32749
719	18433	32769
720	18466	32757
721	18499	32746
722	18536	32740
723	18592	32768
724	18633	32769
725	18668	32760
726	18706	32755
727	18753	32766
728	18783	32748
729	18806	32718
730	18824	32679
731	18844	32644
732	18864	32607
733	18886	32576
734	18906	32539
735	18951	32546
736	18973	32515
737	18997	32486
738	19017	32450
739	19042	32423
740	19072	32405
741	19100	32383
742	19121	32348
743	19146	32323
744	19172	32297
745	19200	32274
746	19222	32243
747	19253	32226
748	19279	32200
749	19331	32219
750	19354	32188
751	19382	32167
752	19404	32134
753	19429	32107
754	19450	32074
755	19480	32055
756	19500	32019
757	19542	32020
758	19568	31994
759	19594	31969
760	19615	31935
761	19638	31905
762	19659	31872
763	19681	31840
764	19704	31809
765	19745	31809
766	19765	31773
767	19790	31747
768	19812	31714
769	19840	31692
770	19860	31658
771	19913	31675
772	19945	31659
773	19977	31643
774	19996	31607
775	20019	31576
776	20038	31540
777	20106	31581
778	20135	31560
779	20181	31565
780	20208	31542
781	20256	31551
782	20284	31528
783	20325	31525
784	20350	31497
785	20389	31491
786	20433	31493
787	20477	31495
788	20502	31468
789	20548	31472
790	20593	31476
791	20659	31511
792	20714	31528
793	20785	31571
794	20826	31566
795	20863	31558
796	20896	31540
797	20959	31570
798	20986	31545
799	21017	31526
800	21041	31496
801	21073	31478
802	21098	31450
803	21138	31445
804	21163	31416
805	21194	31396
806	21223	31374
807	21247	31345
808	21272	31317
809	21294	31284
810	21335	31279
811	21359	31250
812	21390	31231
813	21437	31234
814	21485	31240
815	21514	31216
816	21555	31212
817	21575	31175
818	21598	31144
819	21616	31107
820	21637	31072
821	21655	31034
822	21675	30998
823	21694	30961
824	21715	30928
825	21743	30904
826	21791	30908
827	21809	30870
828	21835	30844
829	21862	30817
830	21889	30793
831	21911	30759
832	21932	30727
833	21955	30695
834	22003	30699
835	22033	30677
836	22057	30649
837	22080	30618
838	22110	30596
839	22129	30560
840	22171	30554
841	22189	30517
842	22211	30484
843	22228	30446
844	22251	30415
845	22272	30381
846	22298	30354
847	22322	30324
848	22372	30331
849	22393	30297
850	22418	30269
851	22443	30241
852	22474	30220
853	22496	30188
854	22537	30181
855	22559	30149
856	22581	30117
857	22601	30082
858	22625	30053
859	22652	30027
860	22677	29999
861	22707	29978
862	22764	29991
863	22791	29966
864	22819	29942
865	22841	29909
866	22867	29883
867	22886	29847
868	22925	29837
869	22948	29806
870	22974	29779
871	22998	29749
872	23018	29716
873	23038	29681
874	23059	29647
875	23078	29611
876	23101	29581
877	23118	29543
878	23162	29539
879	23181	29503
880	23203	29471
881	23228	29444
882	23256	29419
883	23276	29385
884	23300	29355
885	23324	29326
886	23378	29335
887	23415	29321
888	23459	29317
889	23490	29296
890	23548	29310
891	23585	29297
892	23630	29293
893	23659	29270
894	23712	29275
895	23742	29254
896	23771	29230
897	23793	29199
898	23819	29171
899	23836	29133
900	23874	29120
901	23903	29097
902	23932	29074
903	23958	29047
904	23985	29020
905	24003	28984
906	24039	28969
907	24059	28935
908	24085	28907
909	24109	28877
910	24135	28851
911	24162	28825
912	24196	28807
913	24229	28788
914	24282	28794
915	24309	28768
916	24341	28747
917	24365	28718
918	24392	28691
919	24413	28658
920	24452	28647
921	24472	28613
922	24494	28580
923	24512	28544
924	24532	28510
925	24550	28474
926	24573	28443
927	24592	28408
928	24615	28377
929	24635	28343
930	24674	28331
931	24693	28296
932	24728	28279
933	24752	28251
934	24775	28220
935	24793	28183
936	24817	28155
937	24839	28123
938	24882	28115
939	24901	28080
940	24927	28053
941	24954	28027
942	24977	27996
943	24996	27961
944	25018	27931
945	25038	27897
946	25083	27891
947	25106	27861
948	25136	27838
949	25162	27811
950	25196	27793
951	25227	27771
952	25276	27769
953	25297	27737
954	25325	27712
955	25349	27683
956	25378	27659
957	25400	27628
958	25446	27622
959	25466	27588
960	25489	27558
961	25508	27523
